stable_id	name_en	name_ar	city_id	seo_slug	shop_count_live	en_source	status	notes
diriyah	Diriyah	الدرعية	riyadh	diriyah	13	shoug_locked_2026-09-21	live	
olaya	Al Olaya	العليا	riyadh	olaya	16	shoug_locked_2026-09-21	live	
al-hamra	Al Hamra	الحمراء	riyadh	al-hamra	12	shoug_locked_2026-09-21	live	
hittin	Hittin	حطين	riyadh	hittin	12	shoug_locked_2026-09-21	live	
qurtubah	Qurtubah	قرطبة	riyadh	qurtubah	12	shoug_locked_2026-09-21	live	
al-narjis	An Narjis	النرجس	riyadh	al-narjis	11	shoug_locked_2026-09-21	live	
al-yasmin	Al Yasmin	الياسمين	riyadh	al-yasmin	11	shoug_locked_2026-09-21	live	
al-munsiyah	Al Munsiyah	المونسية	riyadh	al-munsiyah	10	shoug_locked_2026-09-21	live	EN proposed from slug — confirm with Shoug before locking
al-nahdah	An Nahdah	النهضة	riyadh	al-nahdah	10	shoug_locked_2026-09-21	live	
al-rabwah	Ar Rabwah	الربوة	riyadh	al-rabwah	10	shoug_locked_2026-09-21	live	
al-yarmouk	Al Yarmuk	اليرموك	riyadh	al-yarmouk	10	shoug_locked_2026-09-21	live	
an-nazhah	An Nuzhah	النزهة	riyadh	an-nazhah	10	shoug_locked_2026-09-21	live	
ghirnatah	Ghirnatah	غرناطة	riyadh	ghirnatah	10	shoug_locked_2026-09-21	live	
sulimaniyah	As Sulimaniyah	السليمانية	riyadh	sulimaniyah	10	shoug_locked_2026-09-21	live	Shoug lock EN As Sulimaniyah.
al-ghadeer	Al Ghadir	الغدير	riyadh	al-ghadeer	9	shoug_locked_2026-09-21	live	EN proposed from slug — confirm with Shoug before locking
al-malqa	Al Malqa	الملقا	riyadh	al-malqa	10	shoug_locked_2026-09-21	live	
al-aqiq	Al Aqiq	العقيق	riyadh	al-aqiq	8	shoug_locked_2026-09-21	live	EN proposed from slug — confirm with Shoug before locking
al-arid	Al Arid	العارض	riyadh	al-arid	8	shoug_locked_2026-09-21	live	EN proposed from slug — confirm with Shoug before locking
al-qirawan	Al Qirawan	القيروان	riyadh	al-qirawan	8	shoug_locked_2026-09-21	live	EN proposed from slug — confirm with Shoug before locking
al-rayyan	Ar Rayyan	الريان	riyadh	al-rayyan	7	shoug_locked_2026-09-21	live	EN proposed from slug — confirm with Shoug before locking
al-takhassusi	Al Takhassusi	التخصصي	riyadh	al-takhassusi	7	shoug_locked_2026-09-21	live	EN proposed from slug — confirm with Shoug before locking
